code,municipality,registered,envelopes,valid,TOP 09,Radostné Česko,"ROZUMNÍ-stop migraci,diktát.EU",CESTA ODPOVĚDNÉ SPOLEČNOSTI,ANO 2011,Občanská demokratická aliance,Svob.a př.dem.-T.Okamura (SPD),Česká str.sociálně demokrat.,SPORTOVCI,Strana zelených,Česká strana národně sociální,Řád národa - Vlastenecká unie,-,Strana svobodných občanů,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,STAROSTOVÉ A NEZÁVISLÍ,Blok proti islam.-Obran.domova,Česká pirátská strana,Referendum o Evropské unii,Dělnic.str.sociální spravedl.,SPR-Republ.str.Čsl. M.Sládka,Komunistická str.Čech a Moravy,Dobrá volba 2016,Strana Práv Občanů,Občanská demokratická strana
506761,Alojzov,205,145,144,5,0,1,0,32,0,15,9,1,4,0,0,-,1,6,0,5,0,18,0,1,0,17,0,0,29
589268,Bedihošť,834,527,524,6,1,2,0,140,0,82,28,0,2,0,0,-,14,26,0,13,1,34,0,0,0,123,0,1,51
589276,Bílovice-Lutotín,431,279,275,3,0,0,0,83,0,38,32,0,1,0,0,-,4,22,0,8,0,30,0,1,0,40,0,0,13
589284,Biskupice,238,132,131,0,0,1,0,34,0,19,9,0,2,0,0,-,1,10,0,5,0,10,2,0,0,24,0,0,14
589292,Bohuslavice,376,236,236,4,0,4,0,53,1,36,23,3,3,0,0,-,6,39,0,3,0,17,0,0,1,22,1,0,20
589306,Bousín,107,67,67,2,0,2,0,10,0,11,4,0,0,0,0,-,0,9,0,3,0,7,0,0,0,14,0,0,5
589314,Brodek u Konice,695,460,460,5,0,4,0,144,0,72,32,1,3,1,0,-,5,60,0,20,0,38,1,0,0,47,0,2,25
589322,Brodek u Prostějova,1224,656,655,22,0,4,0,202,2,107,42,3,5,2,0,-,11,53,1,21,1,57,0,4,1,61,0,2,54
589331,Březsko,178,111,111,2,0,3,0,36,0,13,9,0,0,0,1,-,1,17,0,6,0,10,1,0,0,3,0,0,9
589349,Budětsko,331,208,206,3,0,3,0,58,0,35,24,2,1,0,0,-,2,32,1,6,0,7,1,0,1,22,0,2,6
589357,Buková,264,170,169,2,0,0,0,35,0,15,19,0,2,0,0,-,3,25,1,3,0,14,0,0,0,33,1,0,16
589365,Čehovice,426,281,280,10,0,7,0,80,0,44,27,1,5,0,0,-,5,13,0,8,0,18,0,3,1,42,0,0,16
589381,Čechy pod Kosířem,814,512,512,7,1,7,0,140,0,70,66,0,7,0,1,-,6,47,0,20,0,31,2,3,0,79,0,0,25
589390,Čelčice,437,272,272,2,1,0,0,74,1,49,23,1,5,0,0,-,3,15,0,10,0,18,0,1,1,46,0,1,21
589403,Čelechovice na Hané,1063,649,642,15,0,3,1,198,0,103,45,0,2,0,0,-,0,32,1,63,1,43,0,6,2,76,0,2,49
589420,Dětkovice,427,284,281,2,0,4,0,82,0,25,12,0,2,0,0,-,4,36,2,6,1,38,0,1,0,47,0,0,19
589438,Dobrochov,270,172,170,5,1,2,0,51,0,25,14,0,5,0,0,-,3,17,0,7,0,13,0,0,1,13,0,0,13
589446,Dobromilice,629,308,308,0,0,0,4,95,0,68,22,0,1,2,0,-,1,36,0,14,0,10,0,0,1,42,1,2,9
589454,Doloplazy,459,244,244,0,0,0,0,71,0,56,20,2,2,1,1,-,3,8,1,5,0,12,0,1,0,37,0,0,24
589462,Drahany,443,290,287,9,0,6,0,70,0,51,29,1,2,0,0,-,6,17,1,28,0,9,0,1,2,44,0,0,11
558419,Držovice,1139,748,742,15,3,6,0,275,9,102,42,1,4,0,1,-,5,38,4,40,0,60,0,5,2,45,0,7,78
589489,Dřevnovice,380,220,219,2,0,1,0,68,0,38,15,0,1,0,0,-,0,32,0,4,0,24,0,0,0,28,0,0,6
589497,Dzbel,209,133,133,0,0,1,0,50,0,8,11,2,0,0,1,-,1,24,0,5,0,6,0,0,0,22,0,0,2
549967,Hačky,83,67,65,1,1,0,1,12,0,5,10,3,0,0,0,-,3,18,0,4,0,0,1,0,0,0,0,2,4
589501,Hluchov,292,174,173,1,0,0,0,61,0,36,9,0,5,0,0,-,6,9,0,4,0,7,0,1,0,25,0,0,9
589519,Horní Štěpánov,749,454,452,5,0,4,0,130,1,66,56,2,1,4,0,-,1,64,0,10,0,41,0,2,0,48,0,1,16
